blueWins,blueTotalGolds,blueCurrentGolds,blueTotalLevel,blueAvgLevel,blueTotalMinionKills,blueTotalJungleMinionKills,blueFirstBlood,blueKill,blueDeath,blueAssist,blueWardPlaced,blueWardKills,blueFirstTower,blueFirstInhibitor,blueFirstTowerLane,blueTowerKills,blueMidTowerKills,blueTopTowerKills,blueBotTowerKills,blueInhibitor,blueFirstDragon,blueDragon,blueRiftHeralds,blueBaron,blueFirstBaron,redTotalGolds,redCurrentGolds,redTotalLevel,redAvgLevel,redTotalMinionKills,redTotalJungleMinionKills,redFirstBlood,redKill,redDeath,redAssist,redWardPlaced,redWardKills,redFirstTower,redFirstInhibitor,redFirstTowerLane,redTowerKills,redMidTowerKills,redTopTowerKills,redBotTowerKills,redInhibitor,redFirstDragon,redDragon,redRiftHeralds,redBaron,redFirstBaron,blueAirDragon,blueEarthDragon,blueWaterDragon,blueFireDragon,blueElderDragon,redAirDragon,redEarthDragon,redWaterDragon,redFireDragon,redElderDragon,blueChamps0,blueChamps1,blueChamps2,blueChamps3,blueChamps4,redChamps0,redChamps1,redChamps2,redChamps3,redChamps4
0,75460,2239,84,16.8,873,199,0,27,23,35,75,16,0,0,0,3,1,1,1,0,0,1,1,1,0,78578,1732,85,17.0,941,266,1,23,27,31,62,34,1,0,3,5,1,2,2,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,68,876,777,523,497,13,104,157,222,111
1,55409,3932,73,14.6,700,171,0,11,15,6,79,39,1,0,1,3,1,2,0,0,0,0,2,0,0,48348,3625,67,13.4,718,157,1,15,11,15,86,37,0,0,0,4,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,24,104,61,221,40,85,62,777,498,497
1,57716,2887,74,14.8,666,197,1,14,10,22,62,32,0,0,0,3,1,1,1,0,0,1,2,0,0,42708,2649,64,12.8,620,105,0,10,14,16,186,22,1,0,1,5,1,3,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,24,104,711,145,111,777,526,134,81,432
1,65246,3709,77,15.4,756,251,1,20,18,32,67,27,1,0,2,2,1,0,1,0,1,2,2,0,0,58382,2855,74,14.8,715,145,0,18,20,29,68,23,0,0,0,7,3,2,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,887,234,157,236,235,777,9,58,498,50
1,74146,5536,84,16.8,820,225,1,30,13,53,66,27,0,0,0,3,1,2,0,0,1,2,1,0,0,60740,3678,75,15.0,830,176,0,13,30,24,74,25,1,0,1,3,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,68,64,20,498,526,14,104,61,145,12
1,58795,2250,74,14.8,640,202,1,24,14,28,49,30,0,0,0,3,2,0,1,0,0,1,2,0,0,48566,2758,67,13.4,680,143,0,14,24,23,138,24,1,0,1,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,24,104,777,115,526,85,76,126,429,888
1,55123,6915,72,14.4,708,180,0,26,8,39,118,35,0,0,0,2,1,1,0,0,0,2,2,1,0,41842,1441,58,11.6,641,97,1,8,26,14,72,35,1,0,3,4,0,1,3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,897,76,518,221,497,266,60,18,115,111
0,67396,4650,78,15.6,798,244,1,26,21,28,113,25,1,0,2,3,1,1,1,0,1,2,2,0,0,69293,1303,84,16.8,783,161,0,21,26,21,121,22,0,0,0,5,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,92,163,58,119,432,897,68,126,498,497
1,66153,3303,80,16.0,716,226,1,21,13,22,99,28,1,0,3,3,1,0,2,0,1,2,2,1,0,54734,3361,72,14.4,720,120,0,13,21,20,125,23,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,897,76,126,222,518,516,427,61,523,117
1,57232,6814,68,13.6,525,159,1,34,27,60,154,16,0,0,0,3,3,0,0,0,1,2,2,1,0,47035,1751,60,12.0,563,93,0,27,34,46,52,11,1,0,3,4,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,427,777,202,43,68,59,61,145,53
1,71225,4380,81,16.2,674,166,0,27,23,46,78,16,0,0,0,2,2,0,0,0,1,1,1,1,0,64712,2109,76,15.2,725,180,1,23,27,24,51,26,1,0,3,4,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,133,59,61,222,497,126,234,517,163,81
0,41779,2094,61,12.2,561,135,1,12,25,17,62,15,0,0,0,1,0,1,0,0,1,1,1,0,0,55804,3974,71,14.2,681,136,0,25,12,35,58,31,1,0,3,4,1,1,2,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,114,163,777,15,497,266,60,84,145,12
1,76734,3322,88,17.6,907,245,1,11,16,13,68,18,1,0,3,2,1,0,1,0,1,2,1,0,0,72819,3349,84,16.8,924,205,0,16,11,28,62,34,0,0,0,5,1,3,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,897,107,136,895,497,266,78,61,18,526
1,58197,7637,73,14.6,655,148,0,22,23,31,75,38,0,0,0,1,1,0,0,0,0,1,0,1,0,49477,2269,63,12.6,580,149,1,23,22,27,65,28,1,0,2,7,2,2,3,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,777,120,711,145,235,131,64,126,51,497
1,70280,3007,82,16.4,761,230,1,26,17,29,55,32,0,0,0,2,1,1,0,0,1,3,1,1,0,54361,2943,70,14.0,697,132,0,17,26,21,66,20,1,0,3,4,1,0,3,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,41,104,134,777,526,84,234,39,222,40
0,50060,2443,67,13.4,688,149,0,20,21,42,57,24,0,0,0,1,0,1,0,0,0,0,1,0,0,58031,3138,72,14.4,740,152,1,21,20,41,65,21,1,0,2,4,1,1,2,0,1,3,1,1,1,0,0,0,0,0,0,1,0,1,0,777,163,238,498,111,133,64,711,145,53
0,63059,3008,75,15.0,778,194,1,17,21,27,66,20,0,0,0,1,0,1,0,0,0,0,1,0,0,63584,4251,77,15.4,705,166,0,21,17,42,61,24,1,0,3,4,2,0,2,0,1,3,1,0,0,0,0,0,0,0,0,1,1,0,0,86,28,777,119,40,78,64,61,81,43
